name,rate,products
"FL Smidth",2,[]
"Focus Brands - Cinnabon",2,[]
"Fortum",2,[]
"Gaz-System",2,[]
"GlaxoSmithKline",2,[]
"Glencore",2,[]
"Greif",2,[]
"GROUPE LIMAGRAIN/JACQUET-BROSSARD",2,[]
"Gruma",2,[]
"Hellenic Bank",2,[]
"Hellenic Petroleum",2,[]
"Henkel",2,[]
"Hilton",2,[]
"Hines",2,[]
"HSBC",2,[]
"Hyatt",2,[]
"ID Logistics",2,[]
"Idexx Labs",2,[]
"ING Bank",2,[]
"Ingram Micro",2,[]
"Intercontinental Hotels",2,[]
"IPG Photonics",2,[]
"J. Neves & Fihos (JNF)",2,[]
"Japan Tobacco",2,[]
"Johnson & Johnson",2,[]
"Julius Baer",2,[]
"KDDI Corp",2,[]
"Kimberly-Clark",2,[]
"Knauf",2,[]
"Kraft Heinz - JBS",2,[]
"Kubíček VHS",2,[]
"Lamb Weston",2,[]
"Lotos",2,[]
"Loulis Mills",2,[]
"Maire Tecnimonet",2,[]
"Manitowoc",2,[]
"Marriott",2,[]
"Merck",2,[]
"Mocapor",2,[]
"Mohawk Industries",2,[]
"Mondelez - Nabisco",2,[]
"National Oilwell Varco",2,[]
"Nestle",2,[]
"Nippon Steel",2,[]
"Norsk Hydro",2,[]
"Novo Nordisk",2,[]
"NTPC",2,[]
"Otis Worldwide",2,[]
"Pfizer",2,[]
"Philip Morris",2,[]
"Philips",2,[]
"Polpharma",2,[]
"Procter & Gamble",2,[]
"Reckitt Benckiser Group",2,[]
"Red Bull",2,[]
"Ritter Sport",2,[]
"Rockwool",2,[]
"Sanofi",2,[]
"Sarandopoulos Cylindrical Mills",2,[]
"SC Johnson",2,[]
"Schlumberger",2,[]
"Schneider Electric",2,[]
"Siemens",2,[]
"Siemens Energy AG (Independent)",2,[]
"Sigma Group",2,[]
"Subway",2,[]
"Sumitomo Mitsui Financial",2,[]
"Tchibo",2,[]
"Technip Energies",2,[]
"Torm",2,[]
"Toshulin",2,[]
"Trafigura",2,[]
"TZMO",2,[]
"UBS",2,[]
"Unilever",2,[]
"Vestas",2,[]
"Weatherford International",2,[]
"Wintershall Dea AG",2,[]
"Young Living",2,[]
"Yves Rocher",2,[]
"AGCO",3,[]
"Allianz",3,[]
"Amadeus IT Group",3,[]
"AmRest",3,[]
"Aspo",3,[]
"Bacardi",3,[]
"Beiersdorf",3,[]
"Black Red White",3,[]
"Boehringer Ingelheim",3,[]
"Bosch",3,[]
"Bunge",3,[]
"Caterpillar",3,[]
"CHR Hansen",3,[]
"Coinbase",3,[]
"Confor Step",3,[]
"Corning",3,[]
"Deere",3,[]
"Dow",3,[]
"Eaton",3,[]
"Elanco",3,[]
"Elsevier",3,[]
"Enel",3,[]
"FANUC",3,[]
"Ferrero",3,[]
"Fieldfisher",3,[]
"Fortive",3,[]
"GE",3,[]
"General Mills",3,[]
"Goldman Sachs",3,[]
"Halliburton",3,[]
"HILTI",3,[]
"Idemitsu Kosan",3,[]
"IndusInd Bank",3,[]
"Ingersoll Rand",3,[]
"Ingka",3,[]
"JPMorgan",3,[]
"Kellogg",3,[]
"Kotak Mahindra",3,[]
"Linde",3,[]
"Loyalty Ventures",3,[]
"Mars",3,[]
"Maruti Suzuki",3,[]
"Microsoft",3,[]
"Miele",3,[]
"Nalco Water (Ecolab)",3,[]
"Natura",3,[]
"NielsenIQ",3,[]
"Nokian Tyres",3,[]
"Oriflame Cosmetics",3,[]
"Orion",3,[]
"Orsted",3,[]
"Pepsi",3,[]
"Pirelli",3,[]
"PKN Orlen SA",3,[]
"Polskie Górnictwo Naftowe i Gazownictwo SA",3,[]
"PPG",3,[]
"Reliance",3,[]
"Royal DSM",3,[]
"Sabre",3,[]
"Saint-Gobain",3,[]
"SBI",3,[]
